Environment: CartPole-v0, Frames: 1000000.0
Algorithm Parameters: {'algorithm': 'IS', 'batch_size': 50, 'gamma': 0.99, 'learning_rate': 0.001, 'start_epsilon': 1.0, 'stop_epsilon': 0.001, 'epsilon_decay': 0.0001, 'use_stochastic_delay': False, 'delay': 0, 'min_delay': 0, 'seed': 0} 
Model Parameters: {'hidden_units': [200], 'max_buffer_size': 1000, 'min_buffer_size': 100, 'copy_step': 25, 'max_dimension': 0} 
Run: 0 
episode:127, eps:0.079, avg reward (last 100):-1125.99, avg loss:34.78
episode:128, eps:0.078, avg reward (last 100):-1124.02, avg loss:34.11
episode:129, eps:0.076, avg reward (last 100):-1122.78, avg loss:33.49
episode:130, eps:0.075, avg reward (last 100):-1119.55, avg loss:32.76
episode:131, eps:0.073, avg reward (last 100):-1113.06, avg loss:32.17
episode:132, eps:0.072, avg reward (last 100):-1113.37, avg loss:31.31
episode:133, eps:0.070, avg reward (last 100):-1113.56, avg loss:30.53
episode:134, eps:0.069, avg reward (last 100):-1111.19, avg loss:29.80
episode:135, eps:0.068, avg reward (last 100):-1107.57, avg loss:28.90
episode:136, eps:0.066, avg reward (last 100):-1099.85, avg loss:27.94
episode:137, eps:0.065, avg reward (last 100):-1101.57, avg loss:27.04
episode:138, eps:0.064, avg reward (last 100):-1098.32, avg loss:25.96
episode:139, eps:0.063, avg reward (last 100):-1089.46, avg loss:25.08
episode:140, eps:0.061, avg reward (last 100):-1090.76, avg loss:24.17
episode:141, eps:0.060, avg reward (last 100):-1090.46, avg loss:23.39
episode:142, eps:0.059, avg reward (last 100):-1091.39, avg loss:22.99
